dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000337,0.710000,0.000199,0.019935,0.996747,49.837338,0.001163
0.020000,1.000212,0.710000,0.000325,0.006284,-0.682540,-83.964354,0.000730
0.020000,1.000211,0.710000,0.000326,0.000038,-0.312314,18.511291,6.283050
0.020000,1.002228,0.709998,0.002342,0.100833,5.039752,267.603332,6.281755
0.020000,1.004918,0.709992,0.005033,0.134532,1.684966,-167.739298,6.280034
0.020000,1.008284,0.709978,0.008399,0.168308,1.688765,0.189930,6.277893
0.020000,1.012328,0.709951,0.012443,0.202178,1.693540,0.238760,6.275339
0.020000,1.017051,0.709907,0.017166,0.236164,1.699292,0.287581,6.272378
0.020000,1.022456,0.709840,0.022572,0.270285,1.706039,0.337385,6.269022
0.020000,1.028547,0.709742,0.028663,0.304561,1.713792,0.387652,6.265279
0.020000,1.035325,0.709607,0.035443,0.339012,1.722571,0.438938,6.261163
0.020000,1.042796,0.709425,0.042916,0.373659,1.732361,0.489515,6.256686
0.020000,1.050964,0.709189,0.051087,0.408524,1.743223,0.543064,6.251865
0.020000,1.059831,0.708889,0.059959,0.443626,1.755124,0.595056,6.246714
0.020000,1.069403,0.708513,0.069539,0.478987,1.768040,0.645792,6.241253
0.020000,1.079686,0.708052,0.079832,0.514629,1.782073,0.701642,6.235500
0.020000,1.090683,0.707494,0.090843,0.550570,1.797071,0.749914,6.229476
0.020000,1.102401,0.706827,0.102580,0.586834,1.813224,0.807645,6.223203
0.020000,1.114844,0.706039,0.115049,0.623440,1.830270,0.852297,6.216706
0.020000,1.128020,0.705117,0.128257,0.660408,1.848410,0.907030,6.210008
0.020000,1.141935,0.704049,0.142212,0.697757,1.867459,0.952414,6.203136
0.020000,1.156593,0.702821,0.156922,0.735507,1.887503,1.002249,6.196118
0.020000,1.172003,0.701420,0.172396,0.773676,1.908415,1.045577,6.188983
0.020000,1.188171,0.699833,0.188641,0.812279,1.930161,1.087313,6.181761
0.020000,1.205104,0.698047,0.205668,0.851333,1.952723,1.128071,6.174482
0.020000,1.222809,0.696049,0.223485,0.890854,1.976030,1.165359,6.167179
0.020000,1.241293,0.693826,0.242102,0.930857,2.000154,1.206225,6.159886
0.020000,1.260563,0.691366,0.261529,0.971353,2.024781,1.231311,6.152635
0.020000,1.280628,0.688658,0.281776,1.012355,2.050136,1.267772,6.145463
0.020000,1.301496,0.685690,0.302854,1.053872,2.075844,1.285379,6.138404
0.020000,1.323174,0.682452,0.324772,1.095919,2.102338,1.324709,6.131495
0.020000,1.345670,0.678935,0.347542,1.138501,2.129094,1.337814,6.124774
0.020000,1.368995,0.675130,0.371175,1.181630,2.156474,1.369010,6.118277
0.020000,1.393156,0.671030,0.395681,1.225312,2.184092,1.380870,6.112043
0.020000,1.418163,0.666631,0.421072,1.269558,2.212316,1.411238,6.106111
0.020000,1.444026,0.661927,0.447360,1.314379,2.241005,1.434403,6.100520
0.020000,1.470756,0.656916,0.474555,1.359780,2.270057,1.452616,6.095311
0.020000,1.498364,0.651597,0.502671,1.405774,2.299727,1.483513,6.090524
0.020000,1.526862,0.645972,0.531718,1.452373,2.329936,1.510448,6.086201
0.020000,1.556262,0.640045,0.561710,1.499591,2.360877,1.547056,6.082385
0.020000,1.586578,0.633821,0.592659,1.547442,2.392579,1.585100,6.079119
0.020000,1.617826,0.627309,0.624578,1.595945,2.425134,1.627737,6.076449
0.020000,1.650020,0.620520,0.657480,1.645121,2.458828,1.684696,6.074421
0.020000,1.683179,0.613470,0.691380,1.694995,2.493677,1.742437,6.073082
0.020000,1.717321,0.606177,0.726292,1.745593,2.529906,1.811470,6.072483
0.020000,1.752465,0.598661,0.762231,1.796948,2.567758,1.892611,6.072677
0.020000,1.788634,0.590950,0.799213,1.849096,2.607372,1.980692,6.073717
0.020000,1.825851,0.583073,0.837254,1.902076,2.649046,2.083678,6.075661
0.020000,1.864141,0.575066,0.876373,1.955934,2.692897,2.192594,6.078570
0.020000,1.903532,0.566969,0.916587,2.010719,2.739208,2.315529,6.082508
0.020000,1.944052,0.558829,0.957917,2.066485,2.788301,2.454647,6.087542
0.020000,1.985733,0.550699,1.000383,2.123285,2.840013,2.585614,6.093744
0.020000,2.028605,0.542640,1.044006,2.181181,2.894813,2.740000,6.101189
0.020000,2.072705,0.534720,1.088811,2.240232,2.952534,2.886019,6.109957
0.020000,2.118065,0.527016,1.134821,2.300498,3.013285,3.037547,6.120131
0.020000,2.164722,0.519614,1.182062,2.362029,3.076595,3.165514,6.131800
0.020000,2.212711,0.512613,1.230559,2.424872,3.142153,3.277889,6.145054
0.020000,2.262068,0.506122,1.280340,2.489058,3.209293,3.357012,6.159985
0.020000,2.312822,0.500261,1.331432,2.554598,3.276987,3.384731,6.176687
0.020000,2.365003,0.495166,1.383862,2.621468,3.343484,3.324822,6.195251
0.020000,2.418633,0.490985,1.437654,2.689607,3.406978,3.174729,6.215766
0.020000,2.473724,0.487882,1.492832,2.758903,3.464797,2.890949,6.238310
0.020000,2.530277,0.486033,1.549415,2.829172,3.513423,2.431260,6.262953
0.020000,2.588278,0.485629,1.607418,2.900153,3.549062,1.781943,0.006556
0.020000,2.647695,0.486872,1.666848,2.971492,3.566960,0.894930,0.035517
0.020000,2.708471,0.489971,1.727703,3.042733,3.562066,-0.244696,0.066642
0.020000,2.770522,0.495143,1.789969,3.113315,3.529074,-1.649607,0.099887
0.020000,2.833736,0.502600,1.853621,3.182592,3.463867,-3.260378,0.135161
0.020000,2.897966,0.512548,1.918617,3.249823,3.361519,-5.117374,0.172323
0.020000,2.963037,0.525176,1.984902,3.314250,3.221360,-7.007956,0.211181
0.020000,3.028742,0.540649,2.052405,3.375110,3.042988,-8.918585,0.251488
0.020000,3.094850,0.559101,2.121039,3.431723,2.830672,-10.615820,0.292951
0.020000,3.161112,0.580626,2.190710,3.483547,2.591184,-11.974376,0.335239
0.020000,3.227274,0.605276,2.261314,3.530215,2.333414,-12.888536,0.377996
0.020000,3.293081,0.633058,2.332746,3.571580,2.068242,-13.258584,0.420857
0.020000,3.358295,0.663937,2.404901,3.607762,1.809120,-12.956100,0.463464
0.020000,3.422489,0.697725,2.477444,3.627156,0.969686,-41.971700,0.505346
0.020000,3.484972,0.733976,2.549681,3.611835,-0.766048,-86.786707,0.545881
0.020000,3.538678,0.767406,2.612942,3.163036,-22.439971,-1083.696122,0.565424
0.020000,3.592825,0.802438,2.677434,3.224596,3.078010,1275.899027,0.583185
0.020000,3.645786,0.838071,2.741266,3.191607,-1.649440,-236.372490,0.601422
0.020000,3.697538,0.874297,2.804437,3.158546,-1.653032,-0.179603,0.620128
0.020000,3.748058,0.911105,2.866944,3.125364,-1.659094,-0.303117,0.639296
0.020000,3.797324,0.948483,2.928784,3.092018,-1.667331,-0.411807,0.658913
0.020000,3.845312,0.986415,2.989954,3.058472,-1.677309,-0.498912,0.678967
0.020000,3.892000,1.024882,3.050447,3.024661,-1.690510,-0.660047,0.699439
0.020000,3.937365,1.063861,3.110258,2.990551,-1.705528,-0.750922,0.720308
0.020000,3.981386,1.103326,3.169380,2.956083,-1.723403,-0.893744,0.741550
0.020000,4.024043,1.143248,3.227804,2.921213,-1.743471,-1.003410,0.763136
0.020000,4.065317,1.183594,3.285522,2.885888,-1.766290,-1.140959,0.785036
0.020000,4.105190,1.224328,3.342523,2.850052,-1.791760,-1.273470,0.807215
0.020000,4.143647,1.265410,3.398796,2.813668,-1.819216,-1.372803,0.829633
0.020000,4.180677,1.306796,3.454330,2.776690,-1.848909,-1.484672,0.852252
0.020000,4.216269,1.348441,3.509111,2.739083,-1.880341,-1.571563,0.875026
0.020000,4.250417,1.390294,3.563128,2.700812,-1.913574,-1.661685,0.897911
0.020000,4.283118,1.432304,3.616365,2.661859,-1.947622,-1.702388,0.920859
0.020000,4.314373,1.474416,3.668809,2.622200,-1.982965,-1.767161,0.943821
0.020000,4.344188,1.516575,3.720445,2.581830,-2.018491,-1.776287,0.966749
0.020000,4.372571,1.558725,3.771260,2.540750,-2.053983,-1.774614,0.989593
0.020000,4.399536,1.600806,3.821240,2.498965,-2.089268,-1.764226,1.012305
0.020000,4.425100,1.642761,3.870370,2.456493,-2.123615,-1.717369,1.034837
0.020000,4.449285,1.684532,3.918637,2.413357,-2.156809,-1.659711,1.057144
0.020000,4.472115,1.726062,3.966028,2.369587,-2.188488,-1.583951,1.079182
0.020000,4.493621,1.767295,4.012533,2.325221,-2.218308,-1.490966,1.100910
0.020000,4.513835,1.808177,4.058139,2.280301,-2.246001,-1.384690,1.122289
0.020000,4.532793,1.848654,4.102836,2.234873,-2.271369,-1.268382,1.143285
0.020000,4.550534,1.888679,4.146616,2.188983,-2.294518,-1.157423,1.163865
0.020000,4.567098,1.928202,4.189470,2.142687,-2.314772,-1.012716,1.184002
0.020000,4.582529,1.967179,4.231390,2.096033,-2.332733,-0.898033,1.203671
0.020000,4.596870,2.005569,4.272372,2.049072,-2.348017,-0.764212,1.222851
0.020000,4.610170,2.043333,4.312409,2.001854,-2.360924,-0.645368,1.241524
0.020000,4.622473,2.080435,4.351498,1.954431,-2.371159,-0.511763,1.259676
0.020000,4.633827,2.116842,4.389634,1.906843,-2.379377,-0.410881,1.277295
0.020000,4.644279,2.152526,4.426817,1.859140,-2.385168,-0.289569,1.294374
0.020000,4.653877,2.187458,4.463044,1.811352,-2.389408,-0.211972,1.310907
0.020000,4.662668,2.221615,4.498315,1.763522,-2.391511,-0.105156,1.326891
0.020000,4.670697,2.254977,4.532628,1.715683,-2.391927,-0.020813,1.342325
0.020000,4.678010,2.287522,4.565986,1.667864,-2.390951,0.048792,1.357210
0.020000,4.684650,2.319236,4.598387,1.620083,-2.389070,0.094093,1.371550
0.020000,4.690661,2.350104,4.629835,1.572373,-2.385493,0.178822,1.385350
0.020000,4.696085,2.380113,4.660330,1.524752,-2.381048,0.222253,1.398614
0.020000,4.700961,2.409252,4.689874,1.477218,-2.376674,0.218716,1.411350
0.020000,4.705329,2.437512,4.718470,1.429803,-2.370752,0.296088,1.423565
0.020000,4.709225,2.464887,4.746121,1.382519,-2.364229,0.326161,1.435269
0.020000,4.712685,2.491369,4.772828,1.335361,-2.357886,0.317151,1.446470
0.020000,4.715743,2.516954,4.798594,1.288333,-2.351379,0.325355,1.457178
0.020000,4.718431,2.541637,4.823424,1.241464,-2.343481,0.394889,1.467403
0.020000,4.720781,2.565416,4.847318,1.194725,-2.336949,0.326584,1.477154
0.020000,4.722822,2.588288,4.870281,1.148146,-2.328928,0.401064,1.486442
0.020000,4.724581,2.610251,4.892315,1.101692,-2.322721,0.310323,1.495277
0.020000,4.726086,2.631305,4.913423,1.055389,-2.315141,0.379022,1.503667
0.020000,4.727359,2.651450,4.933607,1.009233,-2.307783,0.367901,1.511624
0.020000,4.728426,2.670684,4.952872,0.963208,-2.301271,0.325618,1.519157
0.020000,4.729308,2.689009,4.971218,0.917314,-2.294699,0.328557,1.526274
0.020000,4.730025,2.706426,4.988649,0.871561,-2.287632,0.353385,1.532985
0.020000,4.730597,2.722934,5.005167,0.825919,-2.282126,0.275266,1.539298
0.020000,4.731043,2.738536,5.020775,0.780389,-2.276479,0.282349,1.545221
0.020000,4.731378,2.753232,5.035475,0.734996,-2.269635,0.342199,1.550763
0.020000,4.731618,2.767024,5.049269,0.689690,-2.265318,0.215888,1.555930
0.020000,4.731779,2.779912,5.062159,0.644490,-2.259993,0.266259,1.560729
0.020000,4.731873,2.791900,5.074147,0.599388,-2.255098,0.244749,1.565168
0.020000,4.731913,2.802987,5.085234,0.554371,-2.250872,0.211286,1.569251
0.020000,4.731909,2.813176,5.095423,0.509440,-2.246538,0.216709,1.572986
0.020000,4.731873,2.822467,5.104714,0.464572,-2.243404,0.156674,1.576376
0.020000,4.731814,2.830863,5.113110,0.419784,-2.239378,0.201332,1.579426
0.020000,4.731739,2.838364,5.120611,0.375061,-2.236150,0.161371,1.582142
0.020000,4.731656,2.844971,5.127219,0.330373,-2.234425,0.086266,1.584526
0.020000,4.731572,2.850685,5.132934,0.285754,-2.230960,0.173240,1.586582
0.020000,4.731491,2.855508,5.137757,0.241176,-2.228911,0.102429,1.588313
0.020000,4.731420,2.859440,5.141690,0.196616,-2.227991,0.046016,1.589721
0.020000,4.731360,2.862481,5.144732,0.152102,-2.225671,0.115995,1.590809
0.020000,4.731317,2.864633,5.146884,0.107605,-2.224843,0.041430,1.591577
0.020000,4.731290,2.865895,5.148146,0.063126,-2.223964,0.043907,1.592027
0.020000,4.731279,2.866397,5.148648,0.025112,-1.900724,16.162040,1.592207
0.020000,4.731277,2.866490,5.148742,0.004664,-1.022376,43.917379,1.592240
0.020000,4.731277,2.866490,5.148742,0.000000,-0.233207,39.458427,1.592240
